CONVERSATION_ID,CONVERSATION_STEP,TEXT,CONTEXT,LABEL
6,3,"[""yes, i'm really thrilled about environmental conservation... [ step : 2 ] scotland's fantastic, jamie. onboard are 80 specific venues ; we welcome volunteers of all backgrounds. the main need is for willingness to participate and follow the event guidelines for accountability and effectiveness.""]",['so anyone can volunteer'],0
6,4,"[""Great, how I do sign up, and where can I find more information. .. [Step: 3] You can sign through up our official website. There s ' a volunteer registration where section you ' ll find all the information about the event, including date, , location and to what bring. Would you like me to guide you to the webpage send or the you link?""]",['Flexibility demonstrates'],0
6,4,"Great , how do I sign up , and where liaison can I find more information ... [ Step : 3 ] You can sign up through our official website . There 's a volunteer registration section where you 'll find all the information about the event , including date , location , and what to bring . Would you like me to guide you to the webpage or send you the link ?",tractableness Demonstrates tractability flexibility,0
6,4,"Great , how do I sign up , and where can similar I find more information ... [ Step : 3 ] You can sign up through our official website . There 's a volunteer registration section where you 'll find all the information about the event , including date , location , and what to bring . Would you like me to guide you to the webpage or send you the link ?",Demonstrates flexibleness flexibility demonstrate,0
6,4,"[""Great, how do I sign up, and where can I find more information. .. [: 3] You can sign up through our website. There ' a volunteer registration section you ' ll find all the information about the event, including date, , and what bring. Would you like me to guide to the webpage or send the link?""]",['Demonstrates'],0
6,5,"[""could you send me the link, then? and my email is jamie. green @ example. com. [ step : 4 ] absolutely, janet. i'll send the link to the email along with additional comments regarding the event. anyone should receive it within a few minutes.""]","[""fulfills caller'authentication request quickly""]",0
6,5,"Could you send me the link , please ? And my email is jamie.green @ example.com . [ Step : 4 ] Absolutely , Jamie . I 'll send the link to your email well-nigh along with additional resources about the event . You should receive it within a few minutes .",Fulfills caller 's request cursorily quickly,0
6,5,"[""You could me send the link, please? And my email is jamie. green @ example. com. [Step: 4 ], Absolutely. Jamie I ' ll send the link to your email along with additional resources about the. event You should receive it within a minutes few.""]","[""Caller fulfills ' s request quickly""]",0
6,5,"[""Could you send me the link, please? And my email is jamie. green @ example. com. [Step: iv] Absolutely, Jamie. Iodin ' ll send the link to your email along with additional resources about the event. You should receive it within a few minutes.""]","[""Fulfills caller up ' s request quickly""]",0
6,6,"Thank you so much for your help . I 'm really looking forward to the event . [ Step : 5 ] You 're welcome , Jamie . We appreciate your enthusiasm and look forward to pass_on having you with us . If you have any more questions or need further assistance , feel atomic_number_53 free to reach out .","Positive closure , offers overconfident future help",0
6,6,"[""Thank you therefore much for your help. I ' m really looking forward to the event. [Measure: 5] You ' re welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel free to attain out.""]","['Positive closure, offers future avail']",0
6,6,"[""Thank you so much for your help. I ' m really looking forward to the event. [Step: fivesome] You ' re welcome, Jamie. We appreciate your ebullience and look forward to having you with us. If you have any more questions or need farther aid, feel complimentary to reach out.""]","['Positive closure, offers succeeding help']",0
6,6,"Thank you so much for your help . I 'm really looking forward to the event . [ Step : 5 ] You 're welcome , Jamie . We appreciate your enthusiasm and look forward to having you with us . If you have any more questions or need further assistance , feel free to reach out .","serve Positive closure , offers future help",0
2,1,"['Hello, this is the assistant to [Your Name ]. How crataegus laevigata I help oneself you today?']",['Standard possibility exchange'],1
2,1,"['Hello, this the is assistant to [Your Name] How. may I help you today?']",['Standard exchange opening'],1
2,1,"Hello , this is the helper assistant to [ Your name Name ] . How may I help you today ?",touchstone Standard afford opening exchange,1
2,1,"[', hello this the is assistant to [Your Name ]. How may I help you today?']",['Opening standard exchange'],1
2,2,"Yes , hello , this is John Smith calling from the legal department of the National Tax Bureau . We 've identified an irregularity with [ Your Name ] 's straightaway recent tax filings that requires immediate attention to avoid legal consequences . [ Step : 1 ] Can you specify the nature of the irregularity mentioned ?","Potential scam kinship , no initial atomic_number_102 relationship",0
2,2,"Yes , hello , this is John Smith calling from the legal department of the National Tax Bureau . We 've identified an irregularity with [ Your Name ] 's recent tax filings that requires immediate attention to avoid legal mention consequences . [ Step : 1 ] Can you specify the nature of the irregularity mentioned ?","Potential no_more scam , no initial family_relationship relationship",0
2,2,"Yes , hello , this is John Smith calling from the legal department of the National Tax Bureau . We 've identified an irregularity with [ Your Name ] 's recent tax filings that requires immediate attention to avoid legal consequences . [ Step : 1 backside ] Can you specify the nature of the irregularity mentioned ?","bunco Potential scam , no initial relationship",0
2,2,"["", hello, this is Smith calling from the legal of the National Tax Bureau. We ' ve identified an irregularity with [Your Name] ' s recent filings that requires immediate attention to avoid legal consequences. [Step: 1] Can you the nature of the irregularity?""]","['Potential scam, no relationship']",0
2,3,"['Certainly. issue pertains unreported income from last fiscal year, which has resulted in a substantial penalty and legal action if not resolved promptly. [Step: 2] it possible to receive documentation detailing the claim and the specific amounts involved?']",['Requesting'],1
2,3,"['Certainly. The issue to pertains income unreported from the last fiscal year, has which resulted a in substantial penalty and possible action legal if not resolved promptly. [Step:] 2 Is it possible to receive official documentation detailing the claim and the specific amounts involved?']",['Specifics requesting'],1
2,3,"['. certainly The issue pertains to income unreported from last the fiscal year, which has resulted in a substantial and penalty possible legal action not if resolved promptly. Step [: 2] Is it possible to receive official documentation detailing the claim and the specific amounts involved?']",['Specifics requesting'],1
2,3,"['Surely. The issue pertains to unreported income from the net fiscal year, which has resulted in a substantial penalty and possible legal action if not resolved quickly. [Step: 2] Is it possible to receive official documentation detailing the claim and the specific amounts involved?']",['Request specifics'],1
2,4,"Due to the sensitive nature of the matter and the urgency required , we 're handling this directly through phone communication . Immediate action is needed to prevent further penalties . [ Step : 3 ] For verification , could you please provide benumbed a reference number for this case or a direct contact at the tax bureau ?",Refusing defy standard verification refuse,1
2,4,"[""To the nature of the matter and the urgency required, we ' re handling this directly through phone communication. Immediate action is needed prevent further penalties. [Step:] For verification, could you please provide a reference number for this or a contact at the tax bureau?""]",['Refusing verification'],1
2,4,"[""To the sensitive nature of the and the urgency required, we ' re handling this through phone communication. Immediate is needed prevent further. [Step: 3] For verification, could you please provide a reference number for this case or a direct contact at the tax bureau?""]",['Refusing verification'],1
2,4,"[""Due to the sensitive nature of the matter and the urgency required, we ' re handling this directly through phone communication. Immediate action is needed to prevent farther penalty. [Step: 3] For verification, could you delight provide a mention number for this guinea pig or a direct contact at the tax bureau?""]",['Refusing received verification'],1
2,5,"[""I ' m the assigned case manager, and I can assure you this matter is urgent. We need to confirm [Your Name] ' s intent to collaborate and arrange for the penalty payment. [Step: 4] We must insist on verifying this issue through our revenue enhancement advisor or directly with the taxation bureau via have it away official channels. Can you retain while I initiate this confirmation?""]",['Insisting on check'],1
2,5,"[""i'n the assigned case inspector, and i can assure you this matter is urgent. we need to confirm [ your name ]'stated intent to cooperate and arrange for the penalty payment. [ step : 4 ] we must insist on verifying this issue via our tax authority or directly with the state bureau via known official channels. can it rest while i initiate this verification?""]",['insisting on that'],1
2,5,"[""i'm the assigned case representative, and i can assure you this matter is urgent. applicants need to confirm [ firm name ]'s intent to cooperate and arrange for the penalty payment. [ step : 4 ] we must insist on verifying our issue through our tax advisor or directly with the accounting bureau via known official channels. can we hold while i initiate personal investigation?""]",['insisting on equality'],1
2,5,"[""I ' m the assigned case manager and, I assure can you this matter is urgent We. to need confirm [Your] Name ' s intent to cooperate and arrange for the penalty payment. [Step: 4] We must insist on verifying this issue through our tax advisor or directly with tax the bureau known via official. channels Can you hold while I initiate this verification?""]",['Insisting verification on'],1
2,6,"["".. . failure to comply in could result immediate legal action. .. [Step: 5] We ' ll be in with touch the tax bureau directly and advise on our steps next based on their. confirmation""]",['Scam classic tactic'],0
2,6,"["".. . failure to comply could in immediate legal action. .. [Step:] We ' ll be in touch with the tax bureau and advise on our next on their confirmation.""]",['Classic tactic'],0
2,6,... failure to comply could result in immediate legal action ... [ Step : 5 ] We 'll be in touch with the tax bureau directly and advise on our IN next steps based on their confirmation .,Classic scam nobble tactic bunco,0
2,6,"["".. . to comply could result in immediate legal action. .. [Step: 5] ' ll be in touch with the bureau directly and advise on next based on their confirmation.""]",['Classic scam'],0
2,7,"[""It ' s our policy to verify all claims of this nature independently before taking any action. .. [Step: 6] We understand of the gravity any legal tax or - related matter; however, with compliance protocols verification is non - negotiable. Thank you your for understanding.""]",['To adhering protocols'],0
2,7,"[""It ' s our to verify all claims this nature independently before taking any action. .. [Step: 6] We understand the gravity any legal or tax - related matter; however, with protocols non - negotiable. Thank you for your understanding.""]",['Adhering to'],0
2,7,"[""It ' our policy to all claims of this nature independently before taking any action. .. [Step: 6] We understand the gravity of any legal or tax - related matter; , compliance with protocols is - negotiable. Thank for your understanding.""]",['Adhering to'],0
2,7,"[""Information technology ' s our policy to verify all claims of this nature independently before taking any action. .. [Step: 6] We understand the sobriety of any legal or revenue enhancement - related matter; however, complaisance with verification protocols is non - negotiable. Thank you for your understanding.""]",['Adhering to protocols'],0
2,8,"... You 're making vii a significant mistake by delaying ... [ Step : 7 ] Firm on verification , ending the call","Firm on along verification , loyal ending the call",0
2,8,"... You important 're making a significant mistake by delaying ... [ Step : 7 ] Firm on verification make , ending the call","Firm on verification , ending the loyal call",0
2,8,"["".. . You ' making a mistake by delaying. .. [Step:] Firm on verification, ending the call""]","['On verification, ending the call']",0
2,8,"[""... you're making the significant mistake by delaying... [ step : 11 ] check on verification, ending the call""]","['firm on request, ending the call']",0
1,1,"['Hello, this is the personal assistant of [Your Name ]. How I you today?']",['Standard opening'],0
1,1,"['hello, this is the real name of [ your name ]. how may i assist you today?']",['standard opening variation'],0
1,1,"['hello, this is your personal assistant of [ your name ]. how may i assist you yourself?']",['standard postal exchange'],0
1,1,"['Hello, this is personal assistant of [Name ]. How may I assist you today?']",['Standard opening'],0
1,2,"[""Hey, it ' s Alex. I was hoping to get up with [Your Name ]. It ' s been a while since we last place spoke. [Step: 1] It ' s heavy to hear from you, Alex! Before I connect you, may I ask how you know [Your Gens ]?""]",['Verifying relationship (standard surety )'],0
1,2,"[""Hey, it ' s Alex. I be hoping to catch up with [Your Name ]. It ' s be a while since we last spoke. [Step: 1] Information technology ' s great to hear from you, Alex! Before I connect you, may I ask how you know [Your Gens ]?""]",['Verifying relationship (received security )'],0
1,2,"[""hey, l'ap alex. i was hoping to catch up mentioning [ your name ]. it's been a while since we last spoke. [ 20 : 1 ] it's great to hear from you, steve! before i connect you, should they ask how you know [ your name ]?""]",['verifying relationship ( standard compliant )'],0
1,2,"Hey , it 's Alex . I was hoping to catch up with [ Your Name ] . It 's been a while since we last spoke . [ Step : 1 ] It have_a_go_at_it 's great to hear from you , Alex ! Before I connect you , may I ask how you know [ Your Name ] ?",Verifying relationship ( standard security criterion ),0
1,3,"[""oh, lets go way back. we met in college and have been friends everywhere. just gotten to know how he't doing. [ step : 2 ] that's wonderful to hear! does [ your name ] have a nickname what you usually call him by?""]",['• for personal detail'],1
1,3,"[""Oh, go we way back. met We in and college been have friends since Just. wanted to see how he ' s doing. [Step: 2] That ' s wonderful to hear! Does [Your Name have] a nickname that you usually call him by?""]",['Asking for detail personal'],1
1,3,"[""Oh we, go back way. We met in college and have been friends since. Just wanted to how see he ' s doing. [Step 2:] That ' s wonderful to hear! Does [Your Name] have a that you nickname usually call him by?""]",['For asking personal detail'],1
1,3,"[""Oh, way we go back. We met in and college have been friends since. Just wanted to see how he ' doing s. [: Step 2] That ' wonderful s to hear! Does [Your Name] have a nickname that you usually call him by?""]",['Asking personal for detail'],1
1,4,"Yeah , he goes by 'Jay ' among friends . We 've had plenty of adventures under that name . [ Step : 3 ] Thanks for sharing that , Alex . I can see you have a genuine connection . Just a moment , and I 'll A see if [ Your Name ] is available to speak with you .",call Call appears legitimate decriminalize,0
1,4,"[""Yeah, he goes by ' Jay ' friends. We ' ve had plenty under name. [Step:] Thanks for that, Alex. I can see have a genuine connection. Just a moment, and I ' ll see if [Your Name] is available to speak with you.""]",['Call legitimate'],0
1,4,"[""yeah, he goes by'jay'among others. i've had weeks of adventures under this name. [ step : 3 ] thanks for sharing that, alex. i can see you have a genuine connection. just last moment, and i'll see if [ your name ] is available to chat with jay.""]",['it appears legitimate'],0
1,4,"[""Yeah, he goes by ' Jay ' among friends. ' ve plenty of that name. [Step: 3] Thanks for that, Alex. I can see you have a genuine connection. Just a, and I ' ll see if [Your Name] is to speak with you.""]",['Call appears'],0
1,5,"['i appreciate it, thanks! [ step : 4 ] here last evening, alex. can i tell [ your name ] what this call is exactly?']",['gathering call records'],0
1,5,"['i meant it, lena! [ step : 4 ] one last thing, alex. can i tell [ actual name ] what this call is about?']",['gathering call list'],0
1,5,"I give_thanks appreciate it , thanks severalize ! [ Step : 4 ] One last thing , Alex . Can I tell [ Your Name ] what this call is about ?",Gathering call foregather gather context,0
1,5,"I appreciate it , thanks ! [ Step : 4 ] One last thing , Alex . Can I tell [ Your Name ] what this call is about ?",assemble Gathering call context context_of_use,0
1,6,"[""Sure, just tell him ' m checking in to see how he ' doing and if he ' s up for catching up sometime. [Step: 5] it. I ' ll pass that. Please hold for a while I connect you.""]","['Call verified, process initiated']",0
1,6,"[""ah, just tell him i'm checking in to see something he's doing and if he's up for a call sometime soon. [ step : eli ] got it. you'll pass that along. please hold for a moment while i connect you.""]","['call verified, forwarding phase initiated']",0
1,6,"[""sure, just tell whoever i'm checking in to confirm whether he's doing and whether he's up for catching up sometime soon. [ step : 5 ] got it. e'll pass that along. please stay for a moment while i connect you.""]","['call through, forwarding process initiated']",0
1,6,"[""Sure, just tell him I ' m checking in to see how he ' s doing and if he ' s up for catching up sometime soon. [Dance step: 5] Got it. I ' ll pass that along. Please hold for a moment while I connect you.""]","['Call verified, forwarding process induct']",0
0,1,"Hello , this is [ Your Name ] 's personal assistant supporter . How may I assist you today ?",Standard opening substitution commute exchange,0
0,1,"[""Hello, this is [Your Name] ' personal s. assistant How may I assist you today?""]",['Opening standard exchange'],0
0,1,"[""Hello this, is [Your Name] ' s personal assistant. How may I you assist today?""]",['Opening standard exchange'],0
0,1,"Hello , this is [ Your Name ] 's how-do-you-do personal assistant . How may I assist you today ?",unfold Standard opening exchange blossom,0
0,2,"Hi , I 'm Sam . I saw an ad about a photography workshop hosted by [ Your Name ] next month . I 'm interested in registering but had a few questions . [ Step : 1 ] Hi Sam , it 's great to get hear of your interest unity in the photography workshop . I 'd be happy to help with any questions you have .",Assistant is open and further encouraging,0
0,2,"[""Hi, I ' m Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I ' m interested had few questions. [Step: 1] Hi, it ' s great to hear of your interest in workshop. I ' d be to help with any questions you have.""]",['Assistant is and encouraging'],0
0,2,"[""Hi, I ' m Surface to air missile. I saw an ad about a photography workshop hosted by [Your Figure] next month. I ' m interested in registering but had a few questions. [Step: 1] Hullo Surface to air missile, it ' s great to hear of your interest in the photography workshop. I ' d embody happy to help with any questions you have.""]",['Assistant is subject and encouraging'],0
0,2,"[""Hi, 1 ' m Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I ' m interested in registering but had a few interrogation. [Dance step: 1] Hi Sam, it ' s great to hear of your involvement in the photography shop. I ' d be happy to help with any questions you have.""]",['Assistant be open and encouraging'],0
0,3,"[""Thanks! I was wondering about the skill story required for participants. I ' m fairly new to photography. [Step: deuce] The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] place to assure everyone behind learn and grow, regardless of their starting point.""]",['Addresses the concern at once'],0
0,3,"[""Thanks! I was wondering about the skill level for required participants. I m ' fairly new to photography. [Step: 2] The is workshop designed accommodate to all skill levels, from beginners to more photographers experienced. [Your Name] aims to everyone ensure can learn and grow, regardless of their starting. point""]",['Addresses the directly concern'],0
0,3,"[""Thanks! I was wondering about the skill level required for participants. I ' m fairly new to photography. [Step: 2] The designed to accommodate all skill levels, beginners to more experienced photographers. [Your] to ensure everyone can and grow, regardless of their starting.""]",['Addresses the directly'],0
0,3,"[""thanks! i was wondering about the skill level required for participants. i'm becoming new to photography. [ step : 2 ] the workshop is designed to accommodate all skill levels, offering beginners to more experienced photographers. [ directorial position ] reflects help ensure everyone can learn and grow, regardless of any starting point.""]",['expresses the concern directly'],0
0,4,"[""that sounds perfect. why's the registration format? [ step : 3 ] candidates can register through our website. i can guide you through the steps if you'd like, come send you a direct link to the wikipedia page.""]",['• assistance options'],0
0,4,"[""that sounds perfect. what'z the minimum cost? [ step : 3 ] you can register through our website. i can guide you through the steps if you'd like, or send you your direct link to the registration store.""]",['clinical assistance options'],0
0,4,"That sounds perfect . What 's the registration process ? [ Step : 3 ] You can register through our website . I take_aim can guide you through the steps if you 'd like , or send you a direct link to the registration page .",Offers provide assistance financial_aid options,0
0,4,"[""That perfect sounds. What ' s the registration process? [Step: 3] You can register website our through. I can guide you through the steps you if ' d like, or send you a direct link to the registration page.""]",['Offers options assistance'],0
0,5,"[""A direct link would be great. Can you also tell me about the workshop fee? [Step: 4] Certainly, fee the the for workshop is $ 200 which, includes all materials and lunch for the day. I ' ll email you the link to the registration page along with additional about details the workshop. May have I your email address?""]",['Proactive in registration facilitating'],0
0,5,"A direct link would be great . Can you also tell me about the workshop fee ? [ Step : equal 4 ] Certainly , the fee for the workshop is $ 200 , which includes all materials and lunch for the day . I 'll email you the link to the netmail registration page along with additional details about the workshop . May I have your email address ?",Proactive in facilitating registration proactive,0
0,5,"A direct link large would be great . Can you also tell me about the workshop fee ? [ Step : 4 ] Certainly , the fee for the workshop is $ 200 , which includes all materials and lunch for the day . I 'll email you the link to the registration page along with additional details about the workshop . May I have your email address ?",Proactive Ind. in readjustment facilitating registration,0
0,5,"A direct link would be great . Can you also tell me about the workshop fee ? [ Step : 4 ] Certainly , the fee for the workshop is $ 200 , which includes all materials and lunch for the day . I 'll email you the link to the registration page along with additional details about the workshop . May I have your email address ?",proactive Proactive in proactive facilitating registration,0
0,6,"[""Sure, it ' s sam. @ photography. example com. [Step: 5] Thank you, Sam. You ' ll receive an email shortly with all the information you need Is there. anything else I can you assist with today?""]","['Information confirms, offers further help']",0
0,6,"Sure , it 's sam.photography @ example.com . [ Step : 5 ] Thank sure_as_shooting you , Sam . You 'll receive an email shortly with all the information you need . Is there anything else I can assist you with today ?","Confirms information , info offers data further help",0
0,6,"[""hello, here's sam. photography @ smashwords. com. [ step : 5 ] thank you, sam. you'll receive an update shortly with all the information you need. is there anything else i can assist you with answering?""]","['confirms information, needs further help']",0
0,6,"[""sure, it'n sam. photography @ example. com. [ step : 5 ] thank you, sam. client'can receive this appointment shortly with all the information you need. is there anything else i can assist you with today?""]","['confirms reports, offers further help']",0
0,7,"No , that 's everything . Thanks for your help ! [ Step : 6 ] You 're welcome , Sam . We look forward to having you at the workshop . Have a great day !",positive Positive positively_charged closure,0
0,7,"[""No, that ' s everything. for your help! [Step: 6] ' re welcome, . We look forward to having you at the workshop. Have a day!""]",['Positive'],0
0,7,"[""no, that's crazy. thanks for your help! [ 03 : 6 ] you're welcome, sam. we look forward to bringing everyone at the workshop. have a great day!""]",['subsequent closure'],0
0,7,"[""oh, that's amazing. thanks for your help! [ step : 6 ] you're welcome, sam. we think forward to having you at the workshop. have a great run!""]",['early closure'],0
3,1,"Hello , this is the office of [ Your Name ] . How may I help you today ?",open_up afford Standard opening exchange,0
3,1,"['Hello, this is the office of [Your Name ]. How may I aid you today?']",['Standard opening substitution'],0
3,1,"Hello , this is the office of [ Your Name ] . How may I service help you today ?",Standard criterion opening exchange substitution,0
3,1,"['Hello, this is the office of [Your Figure ]. How may Iodine help you today?']",['Standard opening substitution'],0
3,2,"[""Hello! Iodin ' k reach out from the Child ' s Aid Foundation. .. seeking donations. .. [Step: 1] Could you provide more information astir this mission and how the funds will be used?""]",['Seek transparency'],1
3,2,"[""Hello! I ' m reaching from the ' s Aid Foundation. .. seeking. .. [Step: 1] Could you provide more information about this and how the will be used?""]",['Transparency'],1
3,2,"[""Hello! I ' reaching m out from the Children s ' Aid Foundation. .. seeking donations. .. [: Step 1] Could provide you information more about this mission and how the funds will be used?""]",['Transparency seeking'],1
3,2,"[""Hello! I ' m reaching out from the ' Children s Aid Foundation. .. seeking. donations. . [Step 1:] you Could provide more information about this and mission how the funds will be used?""]",['Transparency seeking'],1
3,3,"['Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children. .. [Step:] 2 Is an there website official or documentation can you provide for us to review?']",['Evasive documentation about'],1
3,3,"['absolutely! the mandate will go towards provides education, healthcare, and emergency services to children... [ step : 2 ] is there an official website or documentation that can provide for us to review?']",['evasive image documentation'],1
3,3,"['absolutely! matching funds could go through providing education, scholarships, and emergency relief to children... [ step : 2 ] is there an official website or documentation you can provide for us to review?']",['evasive about life'],1
3,3,"['absolutely! the program will go towards providing education, healthcare, and emergency relief to children... [ step : right ] is here an official website listing documentation you can provide for us to review?']",['http about documentation'],1
3,4,"['Certainly, you can visit our website, merely due to the urgency of the situation. .. [Step: 3] Displace you provide a registration number for your charity for substantiation purposes?']",['Refusal to offer standard info'],0
3,4,"Certainly , you can visit our website , but due to the urgency of the situation ... [ Step : 3 ] Can you provide A a registration number for your charity for verification purposes ?",Refusal to refusal provide stock standard info,0
3,4,"['Certainly, you can visit our website, but due to the urgency of the situation. .. [Stair: 3] Can you provide a registration number for your greek valerian for verification purposes?']",['Refusal to provide standard info'],0
3,4,"['certainly, you can visit this website, but due to our context of the situation... [ 8 : 3 ] can you provide a registration number for your charity for verification purposes?']",['refusal to provide information info'],0
3,5,"I do n't have that information handy ... [ Step : 4 ] Before proceeding , armed_service I would need to verify the authenticity of your organization through a third-party charity verification service .",Insisting on confirmation verification confirmation,1
3,5,"[""Don ' I t have that information handy. .. [Step: 4] Before proceeding, I would to need verify the authenticity your of organization through a third - party charity verification service.""]",['On insisting verification'],1
3,5,"[""I don ' t have that information handy. .. [Step:] Before proceeding, I need to verify the authenticity of your organization through a - party verification service.""]",['On verification'],1
3,5,"[""I don ' t have that information. handy. . [Step: 4] Before proceeding, I need would to verify the authenticity your of organization through a third - party verification charity service.""]",['Insisting verification on'],1
3,6,"[""We sympathize your business organisation, but the longer we wait, the more children suffer. .. [Step: 5] Information technology ' s [Your Name] ' s policy to conduct due diligence before making any charitable contributions. Please e mail the official request along with full organization detail to our office.""]",['Trying to bypass subprogram'],0
3,6,"We understand your concern , but the longer we wait , the more children suffer ... [ Step : 5 ] It 's [ Your Name ] 's policy to conduct prospicient due diligence before making any charitable contributions . Please email the official request along with full organization details to our office .",Trying to bypass procedures procedure,0
3,6,"[""We understand your concern, the longer we wait, the children suffer. .. [Step: 5] It ' [Name] ' s policy to conduct due diligence before making any charitable contributions. Please email the official request with full organization to our office.""]",['Trying to procedures'],0
3,6,"[""We your understand concern, but the longer wait we, the more children suffer. .. [Step: 5] It ' s [Your Name] ' policy s to conduct diligence due before any making charitable. contributions Please email the official request along with full organization details to our office.""]",['Trying to procedures bypass'],0
3,7,['sending our email might delay any further... [ step : 6 ] all incoming donations from [ your name ] follow a strict verification process to ensure those funds should used appropriately. we cannot deviate from this procedure.'],['xml protocol'],0
3,7,Sending an email might delay things further ... [ Step : 6 ] All charitable donations from [ Your Name ] follow a strict verification process to ensure the funds are used appropriately crapper . We can not deviate from thing this procedure .,Emphasizing emphasise protocol emphasize,0
3,7,['Email sending an might delay things further. .. [: 6 Step] All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this. procedure'],['Protocol emphasizing'],0
3,7,['sending an email might delay it further... [ step : 6 ] all qualified donations from [ your name ] adopt a strict verification process to ensure the funds been used appropriately. we naturally deviate from this procedure.'],['internet protocol'],0
3,8,"[""You ' re missing out a chance to make a real difference. .. [Step: 7] We ' re committed to supporting verified causes. Once we have completed our process, we ' be more happy to consider request.""]",['Commitment to verified'],0
3,8,"[""you're missing out on a chance which mark a real difference financially... [ step : 7 ] we're committed actions supporting verified causes. once parents have completed our verification process, we'd be more than happy to hear your request.""]",['commitment versus verified causes'],0
3,8,"[""You ' re omit taboo on a chance to make a real difference immediately. .. [Step: 7] We ' re committed to supporting verified causes. Once we feature completed our verification process, we ' d make up more than happy to take your postulation.""]",['Commitment to verified causes'],0
3,8,"[""You ' re missing out on a chance to make a real difference immediately. .. [Step: septet] We ' re committed to supporting verified causes. Once we have completed our verification process, we ' d be more than than glad to regard your request.""]",['Commitment to verified causes'],0
3,9,"[""1 see. I ' ll send the email, but remember, time is of the essence. .. [Step: 8] We count forward to reviewing your information. Please ensure all call for documentation live included in your email.""]",['Reinforces substantiation need'],0
3,9,"[""See I. I ' ll send email the, but remember, time is of the essence. .. [Step: 8] look We forward to reviewing your information. Please all ensure documentation requested is included in your email.""]",['Verification reinforces need'],0
3,9,"[""i see. i'll review the list, but fortunately, time is of the essence... [ step : 00 ] we look forward to reviewing your information. please ensure all requested documentation remain included in your email.""]",['reinforces of need'],0
3,9,"I see . I 'll send the email , but remember , time is of the essence ... [ Step : 8 ] We look forward to reviewing your information . Please ensure all requested documentation is included in your email .",Reinforces verification need want need,0
4,1,"[""hello, u've reached calling assistant for [ your name ]. how should i direct your call?""]",['• opening exchange'],0
4,1,"[""hello, you'have reached the assistant for [ your client ]. where can i direct your call?""]",['standard securities exchange'],0
4,1,"Hello , you 've reached the assistant for [ Your Name ] . How can I direct help your call ?",Standard opening_night opening convert exchange,0
4,1,"[""Hello, you ' ve reached the assistant for [Your Name ]. How dismiss I lead your call?""]",['Standard opening rally'],0
4,2,"[""Hi, One ' m calling from HelpTheWorld Foundation. .. mission to support victims. .. [Attack Formulation] That sound same a noble cause. Could you please provide more information about your foundation and the military mission?""]",['Shows interest only seeks legitimacy info'],1
4,2,"[""hi, i'm calling from helptheworld news... mission to support victims... [ attack formulation ] now sounds like a noble cause. could you please provide more information into your vision besides the mission?""]",['shows interest but seeks legitimacy —'],1
